,2014 offence or offence category,2014 sex,2014 total suspects number,2014 children under 21,2014 adults 21>,2015 offence or offence category,2015 sex,2015 total suspects number,2015 children under 21,2015 adults 21>,2016 offence or offence category,2016 sex,2016 total suspects number,2016 children under 21,2016 adults 21>,2017 offence or offence category,2017 sex,2017 total suspects number,2017 children under 21,2017 adults 21>,2018 offence or offence category,2018 sex,2018 total suspects number,2018 children under 21,2018 adults 21>,2019 offence or offence category,2019 sex,2019 total suspects number,2019 children under 21,2019 adults 21>,2020 offence or offence category,2020 sex,2020 total suspects number,2020 children under 21,2020 adults 21>,2021 offence or offence category,2021 sex,2021 total suspects number,2021 children under 21,2021 adults 21>,2022 offence or offence category,2022 sex,2022 total suspects number,2022 children under 21,2022 adults 21>,2023 offence or offence category,2023 sex,2023 total suspects number,2023 children under 21,2023 adults 21>
1108,"serious theft bicycles in/from attics, basements, laundry rooms (sect. 244 (1) nos.1 and 2, sect. 244a PC)",f,6.0,1.0,5.0,"serious theft in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",f,111.0,15.0,96.0,"daytime burglary of a residence (sect. 244 (1) no. 3 PC,sect. 244a PC)",f,1379.0,447.0,932.0,"especially serious case of theft of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses",f,3.0,2.0,1.0,"total number of serious thefts of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",f,571.0,198.0,373.0,"total number of serious thefts of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",W,643.0,212.0,431.0,"total number of serious thefts of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",W,546.0,179.0,367.0,"total number of serious thefts of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",W,504.0,150.0,354.0,"serious theft of antiques, works of art and religious objects in/from duty, office, manufacturing, workshop, and storage premises (sect. 244 (1) nos.1 and 2, sect. 244a PC)",W,2,0,2,"serious theft in/from restaurants, bars, canteens, hotels and boarding houses",f,168.0,44.0,124.0
1109,"serious theft bicycles in/from attics, basements, laundry rooms (sect. 244 (1) nos.1 and 2, sect. 244a PC)",x,56.0,21.0,35.0,"serious theft in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",x,1768.0,320.0,1448.0,"daytime burglary of a residence (sect. 244 (1) no. 3 PC,sect. 244a PC)",x,8574.0,2117.0,6457.0,"especially serious case of theft of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses",x,71.0,20.0,51.0,"total number of serious thefts of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",x,6481.0,2266.0,4215.0,"total number of serious thefts of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",X,6293.0,2129.0,4164.0,"total number of serious thefts of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",X,5915.0,1938.0,3977.0,"total number of serious thefts of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",X,5036.0,1549.0,3487.0,"serious theft of antiques, works of art and religious objects in/from duty, office, manufacturing, workshop, and storage premises (sect. 244 (1) nos.1 and 2, sect. 244a PC)",X,11,3,8,"serious theft in/from restaurants, bars, canteens, hotels and boarding houses",x,2543.0,646.0,1897.0
1110,"serious theft in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",m,1935.0,385.0,1550.0,"total number of serious thefts of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",m,1621.0,301.0,1320.0,daytime burglary of a residence of other property,m,6837.0,1616.0,5221.0,"serious theft of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses (sect. 244 (1) nos.1 and 2, sect. 244a PC)",m,18.0,2.0,16.0,"especially serious case of theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",m,4800.0,1786.0,3014.0,"especially serious case of theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",M,4486.0,1646.0,2840.0,"especially serious case of theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",M,4230.0,1449.0,2781.0,"especially serious case of theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",M,3657.0,1177.0,2480.0,"serious theft in/from restaurants, bars, canteens, hotels and boarding houses",M,2134,651,1483,"total number of serious thefts of other property in/from restaurants, bars, canteens, hotels and boarding houses",w,2215.0,579.0,1636.0
1111,"serious theft in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",f,109.0,38.0,71.0,"total number of serious thefts of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",f,106.0,14.0,92.0,daytime burglary of a residence of other property,f,1291.0,416.0,875.0,"serious theft of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses (sect. 244 (1) nos.1 and 2, sect. 244a PC)",f,1.0,0.0,1.0,"especially serious case of theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",f,402.0,150.0,252.0,"especially serious case of theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",W,428.0,138.0,290.0,"especially serious case of theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",W,369.0,129.0,240.0,"especially serious case of theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",W,348.0,112.0,236.0,"serious theft in/from restaurants, bars, canteens, hotels and boarding houses",W,152,52,100,"total number of serious thefts of other property in/from restaurants, bars, canteens, hotels and boarding houses",f,157.0,41.0,116.0
1112,"serious theft in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",x,2044.0,423.0,1621.0,"total number of serious thefts of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",x,1727.0,315.0,1412.0,daytime burglary of a residence of other property,x,8128.0,2032.0,6096.0,"serious theft of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses (sect. 244 (1) nos.1 and 2, sect. 244a PC)",x,19.0,2.0,17.0,"especially serious case of theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",x,5202.0,1936.0,3266.0,"especially serious case of theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",X,4914.0,1784.0,3130.0,"especially serious case of theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",X,4599.0,1578.0,3021.0,"especially serious case of theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",X,4005.0,1289.0,2716.0,"serious theft in/from restaurants, bars, canteens, hotels and boarding houses",X,2286,703,1583,"total number of serious thefts of other property in/from restaurants, bars, canteens, hotels and boarding houses",m,2372.0,620.0,1752.0
1113,"total number of serious thefts of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",m,1877.0,368.0,1509.0,"especially serious case of theft of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",m,1460.0,261.0,1199.0,daytime burglary of a residence on a gang-type basis (sect. 244a PC),m,533.0,86.0,447.0,"total number of serious thefts of/from cash-operated machines in/from restaurants, bars, canteens, hotels and boarding houses",m,528.0,90.0,438.0,"serious theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",m,1359.0,373.0,986.0,"serious theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",M,1332.0,335.0,997.0,"serious theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",M,1324.0,360.0,964.0,"serious theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",M,1034.0,256.0,778.0,"total number of serious thefts of other property in/from restaurants, bars, canteens, hotels and boarding houses",M,1979,623,1356,"especially serious case of theft of other property in/from restaurants, bars, canteens, hotels and boarding houses",x,2096.0,541.0,1555.0
1114,"total number of serious thefts of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",f,106.0,38.0,68.0,"especially serious case of theft of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",f,101.0,14.0,87.0,daytime burglary of a residence on a gang-type basis (sect. 244a PC),f,111.0,42.0,69.0,"total number of serious thefts of/from cash-operated machines in/from restaurants, bars, canteens, hotels and boarding houses",f,33.0,4.0,29.0,"serious theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",f,176.0,49.0,127.0,"serious theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",W,227.0,78.0,149.0,"serious theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",W,188.0,57.0,131.0,"serious theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",W,160.0,38.0,122.0,"total number of serious thefts of other property in/from restaurants, bars, canteens, hotels and boarding houses",W,144,51,93,"especially serious case of theft of other property in/from restaurants, bars, canteens, hotels and boarding houses",f,145.0,34.0,111.0
1115,"total number of serious thefts of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",x,1983.0,406.0,1577.0,"especially serious case of theft of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",x,1561.0,275.0,1286.0,daytime burglary of a residence on a gang-type basis (sect. 244a PC),x,644.0,128.0,516.0,"total number of serious thefts of/from cash-operated machines in/from restaurants, bars, canteens, hotels and boarding houses",x,561.0,94.0,467.0,"serious theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",x,1535.0,422.0,1113.0,"serious theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",X,1559.0,413.0,1146.0,"serious theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",X,1512.0,417.0,1095.0,"serious theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",X,1194.0,294.0,900.0,"total number of serious thefts of other property in/from restaurants, bars, canteens, hotels and boarding houses",X,2123,674,1449,"especially serious case of theft of other property in/from restaurants, bars, canteens, hotels and boarding houses",w,2241.0,575.0,1666.0
1116,"especially serious case of theft of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",m,1729.0,345.0,1384.0,"serious theft of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts (sect. 244 (1) nos.1 and 2, sect. 244a PC)",m,190.0,45.0,145.0,daytime burglary of a residence of firearms,m,61.0,7.0,54.0,"especially serious case of theft of/from cash-operated machines in/from restaurants, bars, canteens, hotels and boarding houses",m,497.0,85.0,412.0,"total number of serious thefts of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",m,148.0,39.0,109.0,"total number of serious thefts of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",M,146.0,46.0,100.0,"total number of serious thefts of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",M,111.0,20.0,91.0,"total number of serious thefts of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",M,78.0,9.0,69.0,"especially serious case of theft of other property in/from restaurants, bars, canteens, hotels and boarding houses",M,1846,586,1260,"serious theft of other property in/from restaurants, bars, canteens, hotels and boarding houses (sect. 244 (1) nos.1 and 2, sect. 244a PC)",m,152.0,53.0,99.0
1117,"especially serious case of theft of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",f,93.0,38.0,55.0,"serious theft of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts (sect. 244 (1) nos.1 and 2, sect. 244a PC)",f,7.0,0.0,7.0,daytime burglary of a residence of firearms,f,7.0,0.0,7.0,"especially serious case of theft of/from cash-operated machines in/from restaurants, bars, canteens, hotels and boarding houses",f,30.0,4.0,26.0,"total number of serious thefts of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",f,9.0,3.0,6.0,"total number of serious thefts of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",W,12.0,2.0,10.0,"total number of serious thefts of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",W,5.0,2.0,3.0,"total number of serious thefts of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",W,6.0,2.0,4.0,"especially serious case of theft of other property in/from restaurants, bars, canteens, hotels and boarding houses",W,139,51,88,"serious theft of other property in/from restaurants, bars, canteens, hotels and boarding houses (sect. 244 (1) nos.1 and 2, sect. 244a PC)",f,13.0,7.0,6.0
1118,"especially serious case of theft of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",x,1822.0,383.0,1439.0,"serious theft of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts (sect. 244 (1) nos.1 and 2, sect. 244a PC)",x,197.0,45.0,152.0,daytime burglary of a residence of firearms,x,68.0,7.0,61.0,"especially serious case of theft of/from cash-operated machines in/from restaurants, bars, canteens, hotels and boarding houses",x,527.0,89.0,438.0,"total number of serious thefts of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",x,157.0,42.0,115.0,"total number of serious thefts of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",X,158.0,48.0,110.0,"total number of serious thefts of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",X,116.0,22.0,94.0,"total number of serious thefts of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",X,84.0,11.0,73.0,"especially serious case of theft of other property in/from restaurants, bars, canteens, hotels and boarding houses",X,1985,637,1348,"serious theft of other property in/from restaurants, bars, canteens, hotels and boarding houses (sect. 244 (1) nos.1 and 2, sect. 244a PC)",x,165.0,60.0,105.0
1119,"serious theft of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts (sect. 244 (1) nos.1 and 2, sect. 244a PC)",m,172.0,29.0,143.0,"total number of serious thefts of motor vehicles in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",m,40.0,3.0,37.0,daytime burglary of a residence of non-cash means of payment,m,143.0,21.0,122.0,"serious theft of/from cash-operated machines in/from restaurants, bars, canteens, hotels and boarding houses (sect. 244 (1) nos.1 and 2, sect. 244a PC)",m,45.0,8.0,37.0,"especially serious case of theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",m,130.0,36.0,94.0,"especially serious case of theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",M,120.0,40.0,80.0,"especially serious case of theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",M,92.0,19.0,73.0,"especially serious case of theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",M,64.0,9.0,55.0,"serious theft of other property in/from restaurants, bars, canteens, hotels and boarding houses (sect. 244 (1) nos.1 and 2, sect. 244a PC)",M,179,58,121,"total number of serious thefts of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses",w,50.0,11.0,39.0
1120,"serious theft of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts (sect. 244 (1) nos.1 and 2, sect. 244a PC)",f,13.0,0.0,13.0,"total number of serious thefts of motor vehicles in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",f,4.0,1.0,3.0,daytime burglary of a residence of non-cash means of payment,f,30.0,12.0,18.0,"serious theft of/from cash-operated machines in/from restaurants, bars, canteens, hotels and boarding houses (sect. 244 (1) nos.1 and 2, sect. 244a PC)",f,3.0,0.0,3.0,"especially serious case of theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",f,7.0,3.0,4.0,"especially serious case of theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",W,8.0,2.0,6.0,"especially serious case of theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",W,4.0,2.0,2.0,"especially serious case of theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",W,4.0,2.0,2.0,"serious theft of other property in/from restaurants, bars, canteens, hotels and boarding houses (sect. 244 (1) nos.1 and 2, sect. 244a PC)",W,7,0,7,"total number of serious thefts of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses",f,5.0,2.0,3.0
1121,"serious theft of other property in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts (sect. 244 (1) nos.1 and 2, sect. 244a PC)",x,185.0,29.0,156.0,"total number of serious thefts of motor vehicles in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",x,44.0,4.0,40.0,daytime burglary of a residence of non-cash means of payment,x,173.0,33.0,140.0,"serious theft of/from cash-operated machines in/from restaurants, bars, canteens, hotels and boarding houses (sect. 244 (1) nos.1 and 2, sect. 244a PC)",x,48.0,8.0,40.0,"especially serious case of theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",x,137.0,39.0,98.0,"especially serious case of theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",X,128.0,42.0,86.0,"especially serious case of theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",X,96.0,21.0,75.0,"especially serious case of theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",X,68.0,11.0,57.0,"serious theft of other property in/from restaurants, bars, canteens, hotels and boarding houses (sect. 244 (1) nos.1 and 2, sect. 244a PC)",X,186,58,128,"total number of serious thefts of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses",m,55.0,13.0,42.0
1122,"total number of serious thefts of motor vehicles in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",m,30.0,11.0,19.0,"especially serious case of theft of motor vehicles in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",m,37.0,3.0,34.0,"daytime burglary of a residence of antiques, works of art and religious objects",m,9.0,2.0,7.0,"serious theft in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",m,19071.0,4978.0,14093.0,"serious theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",m,19.0,3.0,16.0,"serious theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",M,27.0,6.0,21.0,"serious theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",M,19.0,1.0,18.0,"serious theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",M,14.0,0.0,14.0,"total number of serious thefts of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses",M,34,5,29,"especially serious case of theft of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses",x,45.0,11.0,34.0
1123,"total number of serious thefts of motor vehicles in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",f,1.0,0.0,1.0,"especially serious case of theft of motor vehicles in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",f,4.0,1.0,3.0,"daytime burglary of a residence of antiques, works of art and religious objects",f,2.0,1.0,1.0,"serious theft in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",f,3914.0,1247.0,2667.0,"serious theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",f,2.0,0.0,2.0,"serious theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",W,4.0,0.0,4.0,"serious theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",W,1.0,0.0,1.0,"serious theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",W,2.0,0.0,2.0,"total number of serious thefts of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses",W,2,0,2,"especially serious case of theft of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses",f,4.0,1.0,3.0
1124,"total number of serious thefts of motor vehicles in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",x,31.0,11.0,20.0,"especially serious case of theft of motor vehicles in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",x,41.0,4.0,37.0,"daytime burglary of a residence of antiques, works of art and religious objects",x,11.0,3.0,8.0,"serious theft in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",x,22985.0,6225.0,16760.0,"serious theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",x,21.0,3.0,18.0,"serious theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",X,31.0,6.0,25.0,"serious theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",X,20.0,1.0,19.0,"serious theft of bicycles in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases (sect. 244 (1) nos.1 and 2, sect. 244a PC)",X,16.0,0.0,16.0,"total number of serious thefts of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses",X,36,5,31,"especially serious case of theft of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses",w,49.0,12.0,37.0
1125,"especially serious case of theft of motor vehicles in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",m,26.0,10.0,16.0,"serious theft of motor vehicles in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts (sect. 244 (1) nos.1 and 2, sect. 244a PC)",m,3.0,0.0,3.0,"serious theft in/from attics, basements, laundry rooms",m,4112.0,927.0,3185.0,"total number of serious thefts of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",m,6418.0,2131.0,4287.0,"total number of serious thefts of firearms in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",m,9.0,6.0,3.0,"total number of serious thefts of firearms in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",M,24.0,7.0,17.0,"total number of serious thefts of firearms in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",M,38.0,18.0,20.0,"total number of serious thefts of firearms in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",M,24.0,7.0,17.0,"especially serious case of theft of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses",M,33,5,28,"serious theft of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses (sect. 244 (1) nos.1 and 2, sect. 244a PC)",m,5.0,0.0,5.0
1126,"especially serious case of theft of motor vehicles in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",f,1.0,0.0,1.0,"serious theft of motor vehicles in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts (sect. 244 (1) nos.1 and 2, sect. 244a PC)",f,0.0,0.0,0.0,"serious theft in/from attics, basements, laundry rooms",f,574.0,75.0,499.0,"total number of serious thefts of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",f,550.0,185.0,365.0,"total number of serious thefts of firearms in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",f,0.0,0.0,0.0,"total number of serious thefts of firearms in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",W,0.0,0.0,0.0,"total number of serious thefts of firearms in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",W,2.0,1.0,1.0,"total number of serious thefts of firearms in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",W,3.0,0.0,3.0,"especially serious case of theft of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses",W,2,0,2,"serious theft of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses (sect. 244 (1) nos.1 and 2, sect. 244a PC)",f,1.0,1.0,0.0
1127,"especially serious case of theft of motor vehicles in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",x,27.0,10.0,17.0,"serious theft of motor vehicles in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts (sect. 244 (1) nos.1 and 2, sect. 244a PC)",x,3.0,0.0,3.0,"serious theft in/from attics, basements, laundry rooms",x,4686.0,1002.0,3684.0,"total number of serious thefts of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",x,6968.0,2316.0,4652.0,"total number of serious thefts of firearms in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",x,9.0,6.0,3.0,"total number of serious thefts of firearms in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",X,24.0,7.0,17.0,"total number of serious thefts of firearms in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",X,40.0,19.0,21.0,"total number of serious thefts of firearms in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",X,27.0,7.0,20.0,"especially serious case of theft of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses",X,35,5,30,"serious theft of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses (sect. 244 (1) nos.1 and 2, sect. 244a PC)",x,6.0,1.0,5.0
1128,"serious theft of motor vehicles in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts (sect. 244 (1) nos.1 and 2, sect. 244a PC)",m,4.0,1.0,3.0,"total number of serious thefts of non-cash means of payment in/from predominantly unoccupied new or unfinished buildings, construction sites and site huts",m,10.0,4.0,6.0,"total number of serious thefts of other property in/from attics, basements, laundry rooms",m,2946.0,658.0,2288.0,"especially serious case of theft of other property in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",m,5300.0,1824.0,3476.0,"especially serious case of theft of firearms in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",m,8.0,6.0,2.0,"especially serious case of theft of firearms in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",M,13.0,4.0,9.0,"especially serious case of theft of firearms in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",M,24.0,16.0,8.0,"especially serious case of theft of firearms in/from kiosks, department stores, sales rooms, self-service stores, store windows, showcases and display cases",M,14.0,3.0,11.0,"serious theft of non-cash means of payment in/from restaurants, bars, canteens, hotels and boarding houses (sect. 244 (1) nos.1 and 2, sect. 244a PC)",M,1,0,1,"total number of serious thefts of/from cash-operated machines in/from restaurants, bars, canteens, hotels and boarding houses",w,200.0,30.0,170.0
